Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2017,Apr,469,871,394,1.857142857,0.452353617,3252828,778250,0.239253351,144234,CSP158,SUP045
2017,Apr,267,371,91,1.389513109,0.245283019,1641089.8,393050.3,0.239505663,71157,CSP126,SUP172
2017,Sep,1225,1444,552,1.17877551,0.382271468,11088493.26,2660000,0.239888318,447364,CSP032,SUP283
2018,Mar,2245,2182,1369,0.971937639,0.627406049,9527353.15,2288100,0.240161141,421560,CSP106,SUP055
2017,Mar,491,394,241,0.802443992,0.611675127,1655766.96,398510,0.240680005,73030,CSP115,SUP221
2017,Jun,2336,2599,1250,1.112585616,0.480954213,9743587.01,2346530,0.240828147,414472,CSP009,SUP012
2018,Feb,3501,2312,1227,0.660382748,0.530709343,9820864.53,2366166.66,0.240932624,429023,CSP087,SUP252
2017,Feb,1592,2805,845,1.761934673,0.301247772,3994475.5,963540,0.241218152,166279,CSP010,SUP018
2017,Dec,1654,2010,1066,1.215235792,0.530348259,5345793.5,1291080,0.241513257,241167,CSP060,SUP018
2016,Sep,438,533,141,1.216894977,0.264540338,2323546.8,561410,0.241617686,96517,CSP159,SUP096
2017,May,280,842,299,3.007142857,0.355106888,3748581.34,905900,0.241664757,146798,CSP128,SUP115
2016,Oct,528,732,183,1.386363636,0.25,2922403.78,706840,0.241869383,136923,CSP042,SUP302
2018,Feb,870,1256,735,1.443678161,0.585191083,6815703.1,1651000,0.24223473,283385,CSP115,SUP221
2017,Jul,1372,952,377,0.693877551,0.396008403,4387992.3,1063347,0.2423311,184550,CSP040,SUP104
2017,Dec,1541,1406,382,0.912394549,0.271692745,5702174.4,1382010.05,0.242365447,238590,CSP162,SUP112
2017,May,407,501,219,1.230958231,0.437125749,1187817.6,288200,0.242629845,53155,CSP023,SUP252
2018,Jan,2594,2812,2273,1.084040093,0.808321479,14784905.1,3588760,0.242731352,646080,CSP058,SUP275
2017,Jan,1165,1391,545,1.193991416,0.391804457,1798828.76,437270.88,0.24308644,88428,CSP137,SUP230
2017,Mar,1346,1598,501,1.187221397,0.313516896,4606885.03,1122860,0.24373519,203062,CSP064,SUP020
2017,Nov,991,1277,620,1.288597376,0.485512921,7487750.74,1826012.46,0.243866619,313317,CSP147,SUP216
2016,Dec,1129,741,200,0.656333038,0.269905533,1792838.12,437400,0.243970716,87958,CSP062,SUP251
2016,Nov,786,223,88,0.283715013,0.394618834,1029025.8,251230,0.244143538,48800,CSP111,SUP268
2018,Feb,1654,2076,930,1.255139057,0.447976879,4741209.15,1159385,0.244533612,214488,CSP060,SUP018
2018,Feb,991,1372,678,1.384460141,0.494169096,7205630.21,1770041.3,0.24564698,300055,CSP147,SUP313
2017,Aug,3555,2348,1511,0.6604782,0.643526405,11228132.4,2776310,0.247263739,490155,CSP087,SUP252
2018,Feb,984,743,274,0.755081301,0.368775236,7980748.17,1975110.54,0.247484383,317955,CSP114,SUP051
2017,Jul,331,117,31,0.35347432,0.264957265,636278.11,157550,0.24761185,25418,CSP138,SUP288
2017,Feb,1981,2590,964,1.307420495,0.372200772,7403020.47,1835100,0.247885307,319283,CSP007,SUP266
2017,Dec,2399,2041,1112,0.850771155,0.544830965,7919878.1,1966070,0.248244982,346104,CSP146,SUP166
2018,Apr,2245,2167,1324,0.965256125,0.610982926,8588579.55,2138560,0.24900043,380040,CSP106,SUP055
2017,Jun,2245,2308,1320,1.028062361,0.571923744,7118789.59,1775755.05,0.249446205,315266,CSP106,SUP063
